station_id,location_name,day,time,num_bikes_available,num_docks_available,capacity
3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,5,17:12:16,2,13,15
4,Tremont St at E Berkeley St,5,17:12:52,1,18,19
5,Northeastern University - North Parking Lot,5,17:14:53,4,10,15
6,Cambridge St at Joy St,5,17:15:36,2,13,15
7,Fan Pier,5,16:53:03,4,11,15
8,Union Square - Brighton Ave at Cambridge St,5,16:56:29,6,13,19
9,Commonwealth Ave at Agganis Way,5,17:18:22,2,13,15
10,B.U. Central - 725 Comm. Ave.,5,17:18:08,2,9,11
11,Longwood Ave at Binney St,5,17:18:37,8,7,15
12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,5,17:16:11,15,7,26
13,Boston Medical Center - E Concord St at Harrison Ave,5,17:20:23,1,18,19
14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,5,17:20:00,3,21,25
15,Brighton Mills - 370 Western Ave,5,17:20:54,9,5,15
16,Back Bay T Stop - Dartmouth St at Stuart St,5,17:09:44,11,8,19
17,Soldiers Field Park - 111 Western Ave,5,16:56:23,1,14,15
19,Park Dr at Buswell St,5,17:14:35,7,8,15
20,Aquarium T Stop - 200 Atlantic Ave,5,17:19:57,12,7,23
21,Prudential Center - 101 Huntington Ave,5,17:12:52,13,4,18
22,South Station - 700 Atlantic Ave,5,17:02:10,22,21,47
23,Boston City Hall - 28 State St,5,17:14:41,7,18,25
24,Seaport Square - Seaport Blvd at Northern Ave,5,17:14:01,9,8,19
25,South End Library - Tremont St at W Newton St,5,17:19:39,6,9,15
26,Washington St at Waltham St,5,17:17:15,3,12,15
27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,5,17:15:36,1,20,23
29,Innovation Lab - 125 Western Ave at Batten Way,5,16:59:53,9,10,19
30,Brigham Circle - Francis St at Huntington Ave,5,16:31:56,0,14,15
31,Seaport Hotel - Congress St at Seaport Ln,5,17:14:33,12,7,19
32,Landmark Center - Brookline Ave at Park Dr,5,17:20:51,6,6,15
33,Kenmore Square,5,17:16:29,18,4,27
35,Arch St at Franklin St,5,17:10:26,9,22,31
36,Copley Square - Dartmouth St at Boylston St,5,17:07:23,3,28,33
37,New Balance - 20 Guest St,5,16:27:36,1,11,15
39,Washington St at Rutland St,5,17:14:48,7,20,27
40,Lewis Wharf at Atlantic Ave,5,17:13:54,14,5,19
41,Packard's Corner - Commonwealth Ave at Brighton Ave,5,17:20:35,4,22,27
42,Boylston St at Arlington St,5,17:20:11,10,21,31
43,Rowes Wharf at Atlantic Ave,5,17:15:33,2,11,14
44,Congress St at Boston City Hall,5,17:20:48,3,20,23
46,Christian Science Plaza - Massachusetts Ave at Westland Ave,5,17:19:37,7,10,19
47,Cross St at Hanover St,5,17:19:14,1,18,19
48,Post Office Square,5,14:58:40,0,0,19
49,Stuart St at Charles St,5,17:17:18,0,0,17
50,Boylston St at Berkeley St,5,17:20:26,2,12,15
51,Washington St at Lenox St,5,17:07:13,0,13,15
52,Newbury St at Hereford St,5,17:20:30,18,5,23
53,Beacon St at Massachusetts Ave,5,17:19:38,10,7,19
54,Tremont St at West St,5,17:20:56,8,7,15
55,Boylston St at Massachusetts Ave,5,17:20:07,6,5,15
56,Dudley Square - Bolling Building,5,17:04:54,13,4,18
57,Massachusetts Ave at Columbus Ave,5,16:58:13,2,10,14
58,Mugar Way at Beacon St,5,17:07:26,5,14,19
59,Chinatown Gate Plaza,5,17:17:41,8,10,19
60,Charles Circle - Charles St at Cambridge St,5,17:19:23,7,10,19
61,Boylston St at Fairfield St,2,11:05:17,0,0,3
63,Dorchester Ave at Gillette Park,5,17:14:45,3,12,15
64,Congress St at Sleeper St,5,17:05:52,6,13,19
65,Boston Convention and Exhibition Center - Summer St at West Side Dr,5,17:16:29,10,13,23
66,Commonwealth Ave at Griggs St,5,16:25:05,0,14,15
67,MIT at Mass Ave / Amherst St,5,17:20:42,10,9,27
68,Central Square at Mass Ave / Essex St,5,17:20:45,10,6,19
69,Coolidge Corner - Beacon St at Centre St,5,17:13:32,4,14,19
70,Harvard Kennedy School at Bennett St / Eliot St,5,17:11:22,19,4,23
71,Conway Park - Somerville Avenue,5,17:09:54,12,11,23
72,One Broadway / Kendall Sq at Main St / 3rd St,5,17:18:27,0,23,23
73,Harvard Square at Brattle St / Eliot St,5,17:07:25,12,2,15
74,Harvard Square at Mass Ave/ Dunster,5,17:20:31,7,9,19
75,Lafayette Square at Mass Ave / Main St / Columbia St,5,17:16:37,6,9,15
76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,5,17:20:38,4,11,17
77,Somerville City Hall,5,16:27:47,4,14,19
78,Union Square - Somerville,5,17:15:01,7,12,19
79,Beacon St at Washington / Kirkland,5,16:47:57,13,4,19
80,MIT Stata Center at Vassar St / Main St,5,17:16:26,21,12,35
81,Chinatown T Stop,5,17:13:29,2,17,19
82,Beacon St at Tappan St,5,08:58:00,0,14,15
84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,5,17:17:27,7,8,15
85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,5,17:05:12,8,9,19
86,Brookline Village - Station Street at MBTA,5,17:10:29,6,13,19
87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,5,17:10:31,5,10,15
89,Harvard Law School at Mass Ave / Jarvis St,5,17:09:28,6,12,19
91,One Kendall Square at Hampshire St / Portland St,5,17:14:08,9,8,19
92,University of Massachusetts Boston - Campus Center,5,15:55:02,10,9,19
93,JFK/UMass T Stop,5,17:17:52,12,2,15
94,Main St at Austin St,5,16:34:59,1,10,11
95,Cambridge St - at Columbia St / Webster Ave,5,17:20:32,2,12,15
96,Cambridge Main Library at Broadway / Trowbridge St,5,17:14:07,2,16,19
97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,5,17:16:03,9,8,19
98,Warren St at Chelsea St,5,17:16:28,2,19,23
99,Wilson Square,5,16:58:54,8,6,15
100,Davis Square,5,17:17:49,10,15,25
101,Ball Sq,5,17:04:38,2,15,19
102,Powder House Circle - Nathan Tufts Park,5,16:22:00,1,14,15
103,JFK Crossing at Harvard St. / Thorndike St.,5,17:05:00,1,14,15
104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,5,17:13:12,3,14,19
105,Lower Cambridgeport at Magazine St / Riverside Rd,5,17:17:11,17,0,19
106,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,5,16:52:43,6,8,15
107,Ames St at Main St,5,17:20:01,12,4,19
108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,5,17:12:16,9,8,17
109,West End Park,5,17:16:18,17,17,35
110,Harvard University Gund Hall at Quincy St / Kirkland St,5,17:15:57,8,7,15
111,Packard Ave at Powderhouse Blvd,5,17:12:28,0,15,15
112,Clarendon Hill at Broadway,5,17:02:03,2,13,15
113,Andrew T Stop - Dorchester Ave at Dexter St,5,16:20:01,0,15,15
114,Teele Square,5,17:16:48,2,13,15
115,Porter Square Station,5,17:20:48,1,15,19
116,359 Broadway - Broadway at Fayette Street,5,17:20:10,4,19,23
117,Binney St / Sixth St,5,16:43:42,1,16,19
118,Linear Park - Mass. Ave. at Cameron Ave.,5,16:54:46,10,8,19
119,South Boston Library - 646 E Broadway,5,17:18:11,4,8,15
120,Beacon St at Charles St,5,17:18:10,8,10,19
121,W Broadway at Dorchester St,5,17:18:04,12,5,17
122,Burlington Ave at Brookline Ave,5,17:17:36,7,8,15
124,Curtis Hall - South St at Centre St,5,17:02:30,2,12,15
125,Hyde Square - Barbara St at Centre St,5,17:20:09,8,7,15
126,Egleston Square - Atherton St at Washington St,5,17:01:36,3,11,15
128,E Cottage St at Columbia Rd,5,16:57:14,2,16,19
129,Hayes Square - Vine St at Moulton St,5,16:25:22,13,6,19
130,Uphams Corner,5,16:29:12,5,9,15
131,Jackson Square T Stop,5,16:43:17,0,18,18
133,Green Street T Stop - Green St at Amory St,5,16:28:41,11,11,23
135,ID Building East,5,15:33:52,9,7,17
136,ID Building West,5,16:28:15,0,19,19
137,Magoun Square at Trum Field,5,17:19:58,3,16,19
138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,5,16:51:14,1,14,15
139,Dana Park,5,17:14:51,18,0,19
140,Danehy Park,5,17:14:22,1,14,17
141,Kendall Street,5,16:49:01,1,14,15
142,Alewife Station at Russell Field,5,17:16:27,1,21,23
143,EF - North Point Park,5,17:12:00,4,19,23
144,Rogers St & Land Blvd,5,17:10:19,5,13,19
145,Rindge Avenue - O'Neill Library,5,16:48:12,2,15,19
146,Murphy Skating Rink - 1880 Day Blvd,5,16:43:37,13,5,19
149,175 N Harvard St,5,17:10:50,4,11,18
150,State Street at Channel Center,5,17:20:00,9,9,19
151,Surface Rd at India St,5,16:52:30,2,17,19
152,Ink Block - Harrison Ave at Herald St,5,17:19:48,12,15,27
156,Somerville Hospital,5,12:44:15,0,15,15
157,Seaport Blvd at Sleeper St,5,17:20:47,9,0,15
159,S Huntington Ave at Heath St,5,17:18:09,6,9,15
160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,5,16:19:10,0,13,14
161,W Broadway at D St,5,17:13:42,5,15,23
162,Franklin Park - Seaver St at Humboldt Ave,5,16:59:05,9,5,15
163,The Lawn on D,5,17:07:50,14,2,19
167,Ryan Playground - Dorchester Ave at Harbor View St,5,16:42:12,14,1,15
169,Edwards Playground - Main St at Eden St,5,16:54:23,9,10,19
170,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,5,17:17:15,11,2,14
171,Bunker Hill Community College,5,17:17:31,18,5,23
173,Savin Hill T Stop - S Sydney St at Bay St,5,15:28:47,12,1,14
174,Washington St at Brock St,5,15:33:23,0,15,15
175,Brighton Center - Washington St at Cambridge St,5,17:13:55,9,7,17
176,Lesley University,5,17:18:10,2,13,15
177,University Park,5,17:20:16,2,16,19
178,MIT Pacific St at Purrington St,5,17:20:22,14,2,19
179,MIT Vassar St,5,17:20:24,3,18,25
180,Mt Auburn,5,17:10:51,2,17,19
181,Huron Ave At Vassal Lane,5,17:19:45,1,18,19
182,Museum of Science,5,16:56:27,0,19,19
183,Alewife MBTA at Steel Place,5,16:39:57,14,3,17
184,Sidney Research Campus/Erie Street at Waverly,5,17:16:39,2,15,19
185,Third at Binney,5,17:09:14,0,14,15
186,Congress St at Northern Ave,5,17:14:39,2,13,15
187,Cypress St at Clark Playground,5,17:19:49,3,12,15
188,Foss Park,5,17:20:26,0,14,15
189,Kendall T,5,17:16:11,6,13,23
190,Nashua Street at Red Auerbach Way,5,17:15:53,6,30,37
191,Tappan St at Brookline Hills MBTA,5,16:41:14,0,15,15
192,Purchase St at Pearl St,5,17:03:48,0,19,19
193,Brookline Town Hall,5,16:16:25,3,11,15
194,Broadway St at Mt Pleasant St,5,16:35:25,0,19,19
195,Child Street at Brian P. Murphy Staircase,5,17:18:42,10,13,23
196,Roxbury YMCA - Warren St at MLK Blvd,5,15:56:26,2,8,10
197,MLK Blvd at Washington St,5,16:40:09,6,9,15
199,Uphams Corner T Stop - Magnolia St at Dudley St,5,15:47:06,9,6,15
200,Washington St at Melnea Cass Blvd,5,17:08:59,4,12,19
201,NCAAA - Walnut Ave at Crawford St,5,15:55:11,11,4,15
202,Grove Hall Library - 41 Geneva Ave,5,17:17:28,8,5,15
203,Columbia Rd at Ceylon St,5,16:00:30,10,4,15
204,Walnut Ave at Warren St,5,16:57:58,5,10,15
205,Bowdoin St at Quincy St,5,10:31:08,1,12,15
206,Government Center - Cambridge St at Court St,5,16:25:06,3,29,35
208,Oak Square - 615 Washington St,5,15:39:48,14,1,15
210,Bennington St at Byron St,5,12:22:01,6,9,15
211,Piers Park,5,15:52:09,7,8,15
212,Maverick Square - Lewis Mall,5,16:22:30,2,30,33
213,East Boston Neighborhood Health Center - 20 Maverick Square,5,16:54:18,8,7,16
214,Airport T Stop - Bremen St at Brooks St,5,16:39:34,2,12,15
215,The Eddy - New St at Sumner St,5,13:50:22,4,11,15
216,Glendon St at Condor St,5,08:43:21,5,14,19
217,Orient Heights T Stop - Bennington St at Saratoga St,5,17:12:55,10,9,19
218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,5,17:18:53,8,5,15
219,Boston East - 126 Border St,5,16:57:56,6,9,15
221,Verizon Innovation Hub 10 Ware Street,5,17:07:21,3,14,19
222,Troy Boston,5,17:13:09,3,11,14
224,Fresh Pond Reservation,5,16:36:06,9,7,17
225,Cambridge Dept. of Public Works -147 Hampshire St.,5,17:13:16,2,14,19
226,Commonwealth Ave At Babcock St,5,16:44:47,0,15,15
227,Silber Way,5,17:16:57,9,10,19
228,One Memorial Drive,5,16:58:04,0,17,19
232,Four Corners - 157 Washington St,5,13:37:17,1,10,11
233,St Mary's,5,17:19:24,4,11,15
234,Broadway at Central St,5,16:55:24,2,17,19
235,East Somerville Library (Broadway and Illinois),5,16:47:04,8,6,15
236,Assembly Square T,5,17:03:05,5,10,15
239,Community Path at Cedar Street,5,15:57:09,2,13,15
255,Park St at Norwell St,4,21:07:34,0,15,15
258,Gallivan Blvd at Adams St,5,12:09:30,7,7,15
259,Washington St at Bowdoin St,5,17:05:33,5,9,15
260,Fields Corner T Stop,5,13:09:09,7,8,15
271,Ashmont T Stop,5,17:19:43,1,13,15
272,Shawmut T Stop,5,17:12:09,2,15,19
273,Forest Hills,5,17:15:31,22,16,40
279,Williams St at Washington St,5,17:12:13,14,9,23
280,Main St at Baldwin St,5,15:23:46,12,7,19
